Interviewer,Interviewee,Participant ID
"I'm gonna record. Okay. We are interviewing stakeholders to understand the determinants of implementation of lung ultrasound. You've been asked to be interviewed because of your role in implementation of lung ultrasound. Interviews will be de-identified, recorded, transcribed, and analyzed. Do you consent to being interviewed?",I do.,G4
Okay. Can you speak up just a little bit? I'm gonna turn my volume up too. What is your professional title and job description?,"I am a hospice by background, and I have the role of assistant director for quality improvement for the division of hospital medicine. I'm also a physician advisor for the hospital.",G4
Okay. Great. Can you describe your roles as the physician advisor and director of quality?,"As physician advisors, we each have different roles that we play, but my role is specifically around utilization management and care management. In the UM setting, not only do we look at utilization in terms of patient status but we also look at utilization in terms of length of stay and opportunities for improvement in that realm.",G4
Got it.,"That’s more pertinent for this, I think.",G4
Okay. Yeah. Do you also look at utilization of tests and procedures in the hospital or is that someone else that looks at those metrics?,"Technically the supply chain does fall under the purview of the utilization management committee. We will look at biologics and certain high-risk meds and very expensive meds, but we do not look at the basic lab tests and things like that.",G4
"Is there another group that does look at that thing or is that like it's not considered high enough priority in terms of resource management to look at, for instance, chest x-rays and these cheaper tests?","Yeah. By definition, what you're describing is high-value care and so we should be looking at utilization. I bet you [unintelligible 02:27] don’t look at this mostly because it impacts their workflow. It impacts their utilization and reimbursement, things like that. I don't know if it's official—what the official channels are that look at it.",G4
Okay. Okay. Good.,Are looking at it.,G4
"Let's see. Great. That was really helpful. It helps me guide our interview. Can you tell me your experience or knowledge so far with lung ultrasound and point of care ultrasound in general, from a systems perspective and from a clinical perspective as well both?","I'll start with the clinical perspective because I have more experience in that. I've personally used—not personally, but I've personally asked our procedure team to use POCUS to help with diagnosing and infiltrate. Like if I see something on chest x-ray, it doesn't quite fit the clinical scenario. I'll actually reach out to the procedure team to say, ""Do you mind taking a look at it up for me?"" That I can get a better sense of fluid, what does it look like?",G4
"Yeah. Well, that's all music to my ears. I think I'll follow up on that administrative piece of it and some of your thoughts. I guess from my perspective as a clinician who definitely sees the utility of it for many of the reasons that you just talked about but I have less access to the folks that are making decisions about what to invest in terms of infrastructure to support this.","I think it's variable and that's why it's so hard, school of medicine approaches it one way and specifically the department of medicine. There's the hospital and how they approach care, and what they value in terms of metrics and improvement efforts. There's no one approach that works across the board. What I have seen be successful is people doing robust pilots that show improvement in metrics that the responding administrative group thinks is important.",G4
Okay. Just to give you some background and then you can give me feedback on it. We have randomized control trial—we have a randomized control trial demonstrating reduced length of stay with lung ultrasound-guided or diuresis and heart failure patients. We also have three randomized controlled trials demonstrating that lung ultrasound can keep patients out of the hospital. I guess my question to you is what is a meaningful reduction in length of stay and improvement in readmission?,"I think it's a variable again in terms of who you talk to. My mind, the advocacy I make a point of pointing out is really anything even hours makes a difference in terms of capacity. There's length of stay in terms of length of stay self and how we get reimbursed for it. Then they're length of stay in terms of capacity management where even a few hours, or even like two or three hours can make a huge difference in terms of throughput and in terms of getting a patient out of the ED.",G4
"Okay. Okay. Yeah. It's so complex the things that are taken into account in terms of costs. What is my next question given that— one thing that I wanted to clarify, what is your sense of—I think we're doing pretty well with readmissions in our particular hospital for heart failure. Is that your impression that that's never really been a pain point I don't think for our particular hospital?",I think it has been.,G4
Okay.,"I think it has been. I think there's a core group that's constantly working on it and looking at opportunities for improvement, but I don't the numbers off-hand 'cause I'm not in that space, but I do think there's always room for improvement.",G4
"Okay. Even though we do maybe better than average, it's still a priority. Is that all looked at with the cardiology group 'cause they've taken care of the most of the heart failure. I think we only get about 250 cases a year, which is a very small amount, given the size of our group.","The heart part with the heart failure work is that it's different hospital by hospital. At our hospital, we take care of probably a third to—I think a third of the patients in the hospital medicine group. Then the rest are taken care of by cardiology. When you look at the data, again I have not looked at it in a while, but I believe the issue is that cardiology group that takes care of heart failure, do a better job or are on track for length of stay and do all that. Hospital medicine has improvement opportunities.",G4
"Okay. Good to know. Great. I would love to work on that with you, but going forward, what do you think that the first steps are to that and who is working on that within our group? If we've already identified opportunities, I'm guessing there are folks within our group that are working on that.","No, they're not. As a UN committee what we do is we look at DRGs across that entire hospital, not departmental, but across the hospital. We'll say, ""What are our opportunity days?"" We're [background noise] thoughtfully in that, like, I can't think about outliers because the outlier folks are typically care-management based and not medical decision-based.",G4
"Uh-huh. I'm super excited because I can—and we can talk about this after the interview. One thing that I was curious about, so lung ultrasound is actually quite evidence-based at this point, I'm talking about within the last year they've been like multiple randomized controlled trials. They've been looking at BNP for like 15 years. I don't know how many millions of dollars they've spent on that tool, but they haven't shown—we're three for three with lung ultrasound and heart failure at this point in terms of preventing hospitalizations and urgent visits.",Yeah. I heard two things in there. One is what is the role for lung ultrasound in our management for heart failure patients. Two is how do we best collaborate with cardiology to move this forward?,G4
What is their role in our management in our hospital?,"When I think from my perspective at the end of the day, it's all about patient care. When you're thinking about how to move this along in terms of next steps, I think if you've connected it to what is best for my patient and walked it back to what does that mean for us?",G4
Okay. I had a question on the tip of my tongue and then I lost it.,Sorry I talk a lot.,G4
"No, no, it's great. I'm actually a terrible interviewer 'cause I have too many questions before people are done answering the last one. what do you that—so you mentioned going back to our data that's the next step, is that what you see is like actually just figuring out what is happening with our patients and then plan from there?",Yeah. This is where it gets tricky for me in particular because I have a hospital role and I have a divisional role. I never know when that ties in because my bandwidth is very small. My assistant director role is not really funded at all if you think about it and so how do I figure that out? The way I've approached it is to really take it to Ananda and put it on her plate.,G4
"I definitely would wanna. Yeah. Well, we can talk about that, but yeah. I definitely would. We can talk about how that might work, but yeah, so, but I understand the model that you're talking about. That's very helpful for the purposes of this interview and just practically speaking going forward.","If you show impact in length of stay and readmissions at the end of all of this, you can then take that back to any leadership to say, ""I decrease our length of stay by a day and a half on average."" That is a cost savings of X, Y per patient. I want to take that and invested in something similar, but do it at a broader level. That's how you show impact.",G4
Okay. Great.,Then you go capital with them.,G4
"That's amazing. I'm gonna hopefully follow up on some of these comments, like as soon as we're done with the interview, but one last question for the interview. What role do you think pathways play in potentially introducing POCUS as a quality innovation and in general, how do they usually—how are they developed and utilized in their effectiveness?","I think care pathways is an interesting opportunity to really streamline care meaning, remove the variability of practice and really build evidence-based care in one place. We've done a very good job of that. There's a pathways committee, they do multidisciplinary and interdisciplinary collaborations to build that evidence, make sure they're taking all the perspectives, things like that and then building it.",G4
Okay. Great.,I think it's something to think about the question is who takes responsibility for using that pathway?,G4
"Yeah. What is the process, how long does it usually take to develop these pathways and then put into practice? I'm guessing like COVID was probably the fastest one that was ever created and implemented, but generally, what is that process look like in terms of timeline, stakeholders, versions?","I'm gonna speak in generalities because I'm not part of the pathways team, so I don't know how long it takes, but my general sense is if you said, ""Here's the pathway I'm thinking about. Here's what I put on paper,"" and actually worked with Sarah to build it out, the building it is not hard. It's built then getting consensus on it that I think just takes longer, but it depends on how you do it is my thought here.",G4
"In terms of building culture around it, what do you think would be involved in that? Because I actually think, it's all relative. It's a spectrum. 'Cause to me, I'm like, ""Oh, I think people do use them."" That my perspective, but what do you think, what additional steps do you think would need to be taken for them to be truly utilized and make an impact?","Yeah, I think you're asking me fairly tough question that I don't know how to answer off-hand. Having said that, I think there are few things that we've not done well on pathways. One is this burning platform. Like we've not actually talked about why do pathways and not order sets or usual care. What am I doing wrong that you wanna help me improve and that burning platform has not been built?",G4
"Oh yeah. I'm not ever user at all. You're saying like for heart failure as an example, you show folks our metrics and what that impact means for the health system and the patient in terms of evidence-based care and all of these things that we talked about: patient safety, keeping folks out of the hospital once they're discharged, and then you start with that and then you show them how the pathway can help them achieve everyone's goal of like best possible care.","I would say you need to be even more raw than the metrics. I think something along the lines of—I'm just going into big, big generalities here, but hospital medicine is hurting heart failure patients in comparison to cardiology. You're in the hospital for two days more, that means you're higher risk for falling. You're higher risk for other nosocomial complications, all of that. We are harming our patients by not providing good care.",G4
Emotion. Yeah. Evoke the emotion. Yeah.,"I think that we don't do a good job at burning platforms and emotion, and maybe that's a patient story. Maybe that's something that's really raw. Like what I just shared, but something emotional that ties us to that.  That says, I need to use a pathway or I need to do X, Y, and Z because I'm gonna hurt my patient otherwise. I think that's what we connect to having done numerous QR projects. That's what I'm learning is I, if you don't connect it to that emotion, we're just not gonna get the buy-in.",G4
"Okay. That's great. That's just great information. Thank you so much, … I'm gonna actually turn off the recorders.",[No Reply],G4
…interview that then somehow doesn't get recorded.,"You can hear me well enough, right?",G7
"I can hear you perfectly, yeah. Perfect. Sometimes if the connection gets bad, we'll just turn off our video, but so far, so good. Okay, we're interviewing stakeholders to understand the determinants of _____ ultrasound implementation. You've been asked to be interviewed because of your role in POCUS implementation. Interviews will be deidentified, recorded, transcribed, and analyzed. Do you consent to being interviewed?",Yes.,G7
What is your professional title and job description?,"I am Associate Professor of Clinical Practice in the Division of Maternal-Fetal Medicine in the Department of Obstetrics and Gynecology, and I am currently the president of the medical staff.",G7
Oh great. Congratulations. I guess congratulations.,It's feeling a little [unintelligible 00:59].,G7
"Yeah. Okay, no, just kidding. What is your prior and current experience with POCUS?","As a trained obstetrician and gynecologist and a maternal-fetal medicine specialist, part of my daily focus is in ultrasound imaging. Not only do I perform it in a diagnostic radiology unit for scheduled patient visits, we actually use it for our clinical visits and our obstetric triage process on labor and delivery, so performed within outpatient clinical setting as well as inpatient evaluation and management.",G7
Got it. Can you tell me how long that's been part of the training requirements for OB?,"Oh goodness. I'm probably not the best person. My entire training involved ultrasound imaging, so 20 years.",G7
"Twenty-plus years, potentially.","Easily, yeah.",G7
Talk about early adopters. You guys were the earliest.,"We couldn't have existed, I think, without some level of ultrasound training and skill set for medical students, residents, fellows, and physicians.",G7
"Tell me about your recent role as chairing the point of care ultrasound task force for the hospital. I think my first question around that is, when they asked you to do this, what was your understanding of what the purpose of sort of this bit – it was kind of a big undertaking. What was the purpose of it? What was driving that?","From a system standpoint, for credentialing of privileges, the hospital has several different floors that go out to the different departments, and beyond sort of their basic components are procedural components that providers can elect that they are skilled in and are requesting privileges for. What has been found is that each department's form for ultrasound privileges doesn't always look the same for the process, and there had been not a well-established guideline for how many scans is deemed competent in the emergency room versus what is being done in the ICU versus what is being done in outpatient sports medicine. For the variety of different modalities and areas that providers were using ultrasound to guide their clinical medical decision-making, there had not been a formality to that process. It was more I have this skill, or I believe I have this skill, and I am competent to do this as a part of my assessment, and it's going to add to my clinical abilities.",G7
