Interviewer,Interviewee,Participant ID
"—busy, busy, per usual.",Always. [Laughter],G3
"Yeah, [laughter] no joke. We are interviewing stakeholders to understand the determinants of the implementation of lung ultrasound. You have been asked to be interviewed because of your role in POCUS—in lung ultrasound implementation. Interviews will be de-identified, recorded, and transcribed and analyzed. Do you consent to being interviewed?",Yes.,G3
What is your professional job title and description?,"Division administrator. The description. Oh, goodness. [Laughter] I am responsible for the financial and—the financial management of the division and also oversight of the administrative staff and operations. Everything that we do [laughter] that is not taking care of patients.",G3
[Laughter] That’s not actual clinical decision-making?,[Laughter],G3
That was my impression.,"I, at least, have some involvement with everything else that we do that is not clinical.",G3
Perfect. Good. You’re gonna be able to give me a nice big-picture view. Tell me a little bit about your current experience with point-of-care ultrasound and lung ultrasound.,"A big part of it is looking at the finances, of course. Seeing, is this ever gonna cover its expenses or, at some point, become profitable? What I’ve seen so far is that we’re not gonna cover the expenses in clinical revenue. It’s not gonna happen ’cause the collection rate is just too low. It’s not that different from our general collection rate. A lot of the ultrasound charges are reimbursed under global billing for some insurers. It’s not broken out. Likely, there is some other benefit that we just can’t tease out from the rest of the global billing. 	The other piece that I’ve seen, that I’ve been a little bit involved in, is the point-of-care ultrasound training courses. I’ve been set up with that.",G3
"Can you back up and just talk about the global billing? You are so great about sending me that info every week. What I see is we’re—they bill a certain amount, and then we collect, it looks like, about 23 bucks per scan. Can you talk about this term “global billing?” What is that about?","For some insurance companies, there are certain codes, certain procedure codes or diagnosis—I’m blanking on the term. The CPT codes that fall under what they call global billing. You could have a visit for, let’s say, surgery, is the easiest example, for any kind of surgery. All of the other pieces, like the pre-op appointment, the post-operative care, all of that falls under a global bill. It covers pre- and post-op. It covers their stay. It covers complications that might come up with that stay. The insurance company pays one big global—",G3
"It’s the DRG thing, the bundled payment that you’re talking about for—",Right.,G3
"My understanding—and you can correct me—is that there’s the—basically, for, I think, all—certainly, all radiology tests and, I think, some other diagnostics and some other services is there’s a facility fee and then there’s a professional fee.",Yep.,G3
"I found what we were seeing that $23 is the professional fee that we’re reimbursing. Is that what you mean? We’re losing the facility fee, and so because of that, we’ll never—it just won’t ever be able to generate revenue, significant revenue.","That’s part of it. The $23 that we’re seeing is only the professional service fee, the professional part of that. I asked our clinical revenue liaison to see why—it just seems like such a tiny amount of money—[Laughter]",G3
"I see. Just to clarify. Sorry. We know we’re getting that revenue. Then, you’re saying that there may be another piece that we’re getting that we’ll never be able to know about, essentially.",Exactly. We can’t measure it because it just comes through as other general professional service reimbursement.,G3
When you say that the ultrasound—can you talk to me about the cost that you associate with the ultrasound stuff we’re doing?,"From my side of it, what I see for the direct cost is the equipment. Which the hospital is covering or has covered most of that for us, of course, but there are other pieces to that. There’s the time, especially … time, getting the iPad set up, that kind of thing, figuring out the tracking for it, getting the lockers, setting all of that up. The admin time cost on top of the actual physical equipment cost. We still have to figure out exactly how this is gonna work after this first year is up. There’s a subscription fee, too, for—I can’t remember now. Was it for the butterflies?",G3
"For the butterflies, yeah.","I think it was the first year was rolled into the cost of the equipment. Then moving beyond that, since the hospital paid for that, we never saw any charge for that. I don't know if they’re planning to pay for that long term, or if that will eventually be a cost that falls to us. I haven’t reached out yet because I don’t want them to dig into it.",G3
"Yeah, don’t.[Laughter]",[No Reply],G3
"Let’s get our game plan in place first. Absolutely. Okay, good. Well, that’s good information for me to know, too. Then, are any other costs that you see associated with the ultrasound stuff?","Outside of training, your time to teach people how to use it—because that is a significant piece, doing those training courses. It’s not even just the two-day course that we were doing. There’s a lot of prep that goes into that. All of that costs as well. That’s just time.",G3
"One of the things we were hoping to do is piggyback onto the procedure service to facilitate the teaching. Can you talk to me—and the fact that procedures are so well reimbursed would help support—lump that together so that there’s, basically, protection for the faculty. They’re doing these procedures that are reimbursed for the time they’re spending. That will free up some of the time to teach and do diagnostics, which are lower-revenue things. What do you see about the feasibility of that structure?",Having point-of-care ultrasound training as part of the procedure service?,G3
"Yeah. I guess that goes to the financial feasibility of the procedure service. We have such a big division that that was our idea, was that there would always be somebody there that could either get the ultrasounds or train the faculty. That’s part of our sustainability plan. I guess, it goes to the financial feasibility of the procedure service. Right now, they’re also taking care of patients. They can’t really teach the way we—or even do some of these diagnostic studies. They don’t have the bandwidth because of the patient care responsibilities. I wanted to get your opinion about that. Going forward, how close we are to—will we ever be able to have a procedure service where it’s just procedures, you think?",I happened to find that for you. We do that report monthly. Let me look at the most recent one.,G3
"I’d always been told by my colleagues who have started multiple procedure service—’cause that’s a national trend, where you tie the procedures to—you tie the diagnostics to procedures. In the places that have implemented it, the few places, they’ve always done it that because of the revenue stream. I was told that you need six—you basically need six procedures a day to support an attending-run procedure service.","Yeah. It covers about, roughly, half of what it costs to have somebody on that service, the revenue that we’re getting back from procedures.",G3
Right now.,"That we’re getting so far. This is July through November. December books just closed, so I haven’t re-run this report yet. Looking at July through November data, yeah, it covers about half of the cost of having somebody on that service. It’s not quite self-sufficient yet. However, if we were able to, like you said, take off the patient care and just do procedures and increase the number of procedures, I think that would be helpful.",G3
How many procedures are you guys doing now? I’m just curious to know what the targets are.,"This looks like 136 a month, roughly.",G3
"Okay, good. I can do the math, then. You see, potentially, if the volume, basically, doubles from what it is now—",Then it would be a self-sufficient service.,G3
- then that’s where we’re at.,We would need to do about nine a day or four and a half.,G3
